人間,human 
人類,humanity 
人,person 
男,male 
男の人,man 
男の子,boy 
女,female 
女の人,woman 
女の子,girl 
赤ちゃん,baby 
若者,"youth, young person "
私,"I, myself "
私,"I, myself "
僕,"I, myself "
俺,"I, myself "
私,"I, myself "
少女,girl 
少年,boy 
医者,doctor 
看護師,nurse 
看護婦,female nurse 
歯科医 / 歯医者,dentist 
政治家,politician 
弁護士,lawyer 
消防士,firefighter 
警察官,police officer 
兵士,soldier 
建築家,architect 
先生,teacher 
教師,academic teacher 
歌手,singer 
足 / 脚,"foot, leg "
踵,heel 
脛,shin 
膝,knee 
腿,thigh 
頭,head 
顔,face 
口,mouth 
唇,lips 
歯,tooth 
鼻,nose 
目,eye 
髭 / 鬚 / 髯,"moustache, beard "
髪,hair 
耳,ear 
御腹,stomach 
腕,arm 
肘,elbow 
肩,shoulder 
爪,nail 
手,hand 
手首,wrist 
掌 / 手の平,palm of hand 
指,"finger, toe "
尻,buttocks 
お腹 / 腹,abdomen 
肝臓,liver 
肝,liver 
筋肉,muscle 
首,neck 
心,heart [as in feelings] 
腰,"waist, hip "
心臓,heart 
背中,back 
血,blood 
肉,meat 
肌 / 膚,skin 
皮膚,skin 
骨,bone 
胸,chest 
風邪,cold [illness] 
下痢,diarrhea 
病気,illness 
家族,family 
両親,parents 
子供,"children, child "
父,father 
母,mother 
妻,wife 
夫,husband 
兄,older brother 
姉,older sister 
弟,younger brother 
妹,younger sister 
兄弟,"brothers, siblings "
姉妹,sisters 
祖父,grandfather 
祖母,grandmother 
孫,grandchild 
伯父 / 叔父,uncle 
伯母 / 叔母,aunt 
従兄弟 / 従姉妹 / 従兄 / 従弟 / 従姉 / 従妹,cousin 
姪,niece 
甥,nephew 
生き物,living creatures 
化け物,monster 
動物,animal 
犬,dog 
猫,cat 
牛,cow 
豚,pig 
馬,horse 
羊,sheep 
猿,monkey 
鼠,"mouse, rat "
虎,tiger 
狼,wolf 
兎,rabbit 
竜,dragon 
鹿,deer 
蛙,frog 
蟇,toad 
獅子,lion 
麒麟,giraffe 
象,elephant 
鳥,bird 
鶏,chicken 
雀,sparrow 
烏,"crow, raven "
鷲,eagle 
鷹,"hawk, falcon "
魚,fish 
鯛,red snapper 
海老,"shrimp, lobster "
鰯,sardine 
鮪,tuna 
鰹,bonito 
秋刀魚,pike 
鰺,horse mackerel 
鯖,mackerel 
烏賊,squid 
蛸 / 章魚,octopus 
虫,insect 
蝶,butterfly 
蛾,moth 
蝉,cicada 
蜻蛉,dragonfly 
飛蝗,grasshopper 
蜘蛛,spider 
蛍,firefly 
蝿 / 蠅,housefly 
蚊,"mosquito, gnat "
蜚蠊,cockroach 
蝸牛,snail 
蛞蝓,slug 
蚯蚓,earthworm 
貝,shellfish 
貝殻,shell 
蜥蜴,lizard 
蛇,snake 
熊,bear
植物,plants 
草,grass 
花,flower 
実,fruit 
木,tree 
葉 / 葉っぱ,leaf 
根 / 根っ子,root 
茎,stem 
茸,mushroom 
菊,chrysanthemum 
桜,cherry blossom 
松,pine tree 
梅,japanese plum or apricot 
米,uncooked rice 
稲,rice growing in a field 
麦,"wheat, barley, oats "
野菜,vegetable 
果物,fruit for eating 
芋,"yam, potato, taro "
豆,"beans, peas "
大根,Japanese white radish 
人参,carrot 
林檎,apple 
蜜柑,mandarin orange 
甘蕉,banana 
梨,pear 
栗,chestnut tree 
桃,peach 
蕃茄,tomato 
西瓜,watermelon 
食べ物,food 
朝食,breakfast 
昼御飯,lunch 
晩御飯,dinner 
御飯,cooked rice or meal 
味噌,miso 
料理,cooking 
間食,snack 
たこ焼き,octopus dumpling 
飲み物,drink / beverage 
茶,tea 
お茶,green tea 
珈琲,coffee 
牛乳,milk 
水,water 
砂糖,sugar 
塩,salt 
醤油,soy sauce 
時間,time 
時,~hours 
暦,calendar 
分,minute 
秒,second 
日,day 
月,month 
年,year 
昨日,yesterday 
今日,today 
明日,tomorrow 
朝,morning 
昼,afternoon 
夕方,evening 
晩,evening 
夜,"evening, night "
曜日,~day 
週,week 
一週間,one week 
日曜日,Sunday 
月曜日,Monday 
火曜日,Tuesday 
水曜日,Wednesday 
木曜日,Thursday 
金曜日,Friday 
土曜日,Saturday 
太陽,sun 
月,moon 
星,star 
天気,weather 
晴れ,clear weather 
雨,rain 
曇り,cloudy 
雪,snow 
風,wind 
雷,"thunder, lightning "
台風,typhoon 
嵐,storm 
空,sky 
北,north 
東,east 
南,south 
西,west 
右,right 
左,left 
上,"above, up "
下,"below, down "
前,front 
後,behind 
向こう,"the other side, opposite side "
斜め,diagonal 
